date,signal_value
2026-07-27,100000.0
2026-07-27,100000.0
2026-07-27,100000.0
2026-07-27,100000.0
2026-07-27,100000.0
2026-07-27,100000.0
2026-07-27,100000.0
2026-07-27,100000.0
2026-07-27,100000.0
2026-07-27,100000.0
2026-07-27,100000.0
2026-07-27,100000.0
2026-07-27,100000.0
2026-07-27,100000.0
2026-07-27,100000.0
2026-07-27,99868.02
2026-07-27,99567.44
2026-07-27,98895.22
2026-07-28,98597.35
2026-07-28,98312.32
2026-07-28,96653.92
2026-07-28,96299.37
2026-07-28,96339.01
2026-07-28,96565.91
2026-07-28,96305.46
2026-07-28,96301.93
2026-07-28,96585.4
2026-07-28,96939.12
2026-07-28,96736.83
2026-07-28,96460.99
2026-07-28,96473.91
2026-07-28,95755.49
2026-07-28,95884.86
2026-07-28,96509.6
2026-07-28,96993.25
2026-07-28,96641.04
2026-07-28,96425.02
2026-07-28,96425.02
2026-07-28,96405.11
2026-07-28,96376.31
2026-07-28,96736.41
2026-07-28,96891.05
2026-07-28,96661.42
2026-07-29,96946.09
2026-07-29,96700.94
2026-07-29,96256.7
2026-07-29,96110.45
2026-07-29,95958.65
2026-07-29,96217.07
2026-07-29,96248.7
2026-07-29,96066.83
2026-07-29,96077.5
2026-07-29,95942.34
2026-07-29,95860.96
2026-07-29,95982.48
2026-07-29,96186.09
2026-07-29,95919.32
2026-07-29,95624.83
2026-07-29,95719.01
2026-07-29,95687.53
2026-07-29,96038.38
2026-07-29,96502.92
2026-07-29,95585.85
2026-07-29,95006.9
2026-07-29,94867.06
2026-07-29,95063.72
2026-07-29,95075.64
2026-07-30,95232.71
2026-07-30,95492.34
2026-07-30,95748.78
2026-07-30,95813.93
2026-07-30,95426.7
2026-07-30,95763.54
2026-07-30,95580.36
2026-07-30,95140.26
2026-07-30,95335.83
2026-07-30,96042.82
2026-07-30,96007.86
2026-07-30,96007.86
2026-07-30,96463.27
2026-07-30,96719.81
2026-07-30,96588.96
2026-07-30,96616.24
2026-07-30,96745.21
2026-07-30,96673.36
2026-07-30,96821.06
2026-07-30,96501.28
2026-07-30,96619.23
2026-07-30,96581.76
2026-07-30,96543.09
2026-07-30,96448.66
2026-07-30,96468.01
2026-07-31,96405.6
2026-07-31,96399.51
2026-07-31,96535.47
2026-07-31,96035.47
2026-07-31,96385.13
2026-07-31,96626.41
2026-07-31,96828.07
2026-07-31,96814.92
2026-07-31,96814.92
2026-07-31,97120.87
2026-07-31,96471.17
2026-07-31,96371.89
2026-07-31,96343.6
2026-07-31,96836.79
2026-07-31,96744.43
2026-07-31,96578.25
2026-07-31,96714.39
2026-07-31,96461.05
2026-07-31,96650.97
2026-07-31,96291.81
2026-07-31,95999.27
2026-07-31,96408.41
2026-07-31,96412.05
2026-07-31,96965.45
