asset,entry_time,entry_price,rsi_at_entry,exit_time,exit_price,reason,pnl_inr,pnl_pct
GASINR,2026-08-01T06:00+00:00,93.00,10.6,2026-08-01T20:00+00:00,90.69,stop_loss,-83.67,-2.58
LINKINR,2026-08-01T19:00+00:00,793.23,27.1,2026-08-02T03:00+00:00,830.67,take_profit,50.51,4.62
GASINR,2026-08-01T21:00+00:00,90.78,29.7,2026-08-02T03:00+00:00,94.95,take_profit,82.52,4.49
RIFINR,2026-08-03T10:00+00:00,7.99,23.2,2026-08-03T13:00+00:00,7.83,stop_loss,-31.46,-2.12
RIFINR,2026-08-03T14:00+00:00,7.89,23.7,2026-08-03T17:00+00:00,7.73,stop_loss,-23.51,-2.12
RIFINR,2026-08-04T00:00+00:00,7.56,29.2,2026-08-04T05:00+00:00,7.32,stop_loss,-35.79,-3.33
RENDERINR,2026-07-31T15:00+00:00,137.07,28.5,2026-08-05T00:00+00:00,132.94,stop_loss,-277.37,-3.11
TRBINR,2026-07-30T06:00+00:00,1339.97,29.3,2026-08-05T03:00+00:00,1359.22,rsi_overbought,493.57,1.34
ETHINR,2026-07-31T15:00+00:00,186181.54,28.6,2026-08-05T20:00+00:00,191046.53,rsi_overbought,346.90,2.51
RIFINR,2026-08-06T03:00+00:00,6.66,29.7,2026-08-06T05:00+00:00,6.40,stop_loss,-725.30,-4.01
RIFINR,2026-08-06T06:00+00:00,6.48,28.3,2026-08-06T07:00+00:00,6.16,stop_loss,-891.34,-5.05
FILINR,2026-08-06T10:00+00:00,69.47,28.8,2026-08-06T13:00+00:00,67.98,stop_loss,-397.54,-2.25
JUPINR,2026-08-05T08:00+00:00,18.54,25.0,2026-08-06T15:00+00:00,18.07,stop_loss,-534.55,-2.61
GASINR,2026-08-04T13:00+00:00,90.78,26.0,2026-08-06T17:00+00:00,95.40,take_profit,50.29,4.98
XRPINR,2026-07-31T16:00+00:00,105.75,29.7,2026-08-06T19:00+00:00,102.95,stop_loss,-147.59,-2.75
ONDOINR,2026-08-03T06:00+00:00,37.10,29.0,2026-08-06T21:00+00:00,36.28,stop_loss,-56.85,-2.30
ONDOINR,2026-08-07T00:00+00:00,35.86,29.9,2026-08-07T04:00+00:00,35.03,stop_loss,-450.49,-2.42
CAKEINR,2026-08-04T16:00+00:00,140.08,27.8,2026-08-07T09:00+00:00,137.29,stop_loss,-13.52,-2.09
JUPINR,2026-08-06T16:00+00:00,18.01,28.8,2026-08-07T09:00+00:00,18.90,take_profit,1139.57,4.80
ONDOINR,2026-08-07T05:00+00:00,35.17,25.1,2026-08-08T01:00+00:00,34.46,stop_loss,-295.34,-2.11
SOLINR,2026-08-01T19:00+00:00,7145.27,24.2,2026-08-08T05:00+00:00,7445.48,take_profit,74.55,4.10
GASINR,2026-08-07T17:00+00:00,92.08,15.4,2026-08-09T16:00+00:00,94.75,rsi_overbought,494.83,2.80
GASINR,2026-08-10T10:00+00:00,91.35,26.5,2026-08-10T19:00+00:00,94.75,rsi_overbought,537.69,3.62
XRPINR,2026-08-07T04:00+00:00,102.23,29.6,2026-08-11T08:00+00:00,99.20,stop_loss,-338.53,-3.06
LINKINR,2026-08-03T13:00+00:00,811.37,29.9,2026-08-11T10:00+00:00,863.57,take_profit,53.05,6.33
NEARINR,2026-08-07T19:00+00:00,159.33,29.1,2026-08-11T15:00+00:00,151.98,stop_loss,-527.57,-4.71
TRBINR,2026-08-08T02:00+00:00,1359.08,30.0,2026-08-11T15:00+00:00,1327.14,stop_loss,-299.51,-2.45
NEARINR,2026-08-11T16:00+00:00,153.60,28.5,2026-08-12T00:00+00:00,161.28,take_profit,317.55,4.90
TRBINR,2026-08-11T20:00+00:00,1307.45,27.5,2026-08-12T03:00+00:00,1420.29,take_profit,201.17,8.52
JUPINR,2026-08-12T03:00+00:00,17.46,28.8,2026-08-12T10:00+00:00,17.04,stop_loss,-137.90,-2.55
GASINR,2026-08-11T15:00+00:00,90.78,17.4,2026-08-12T14:00+00:00,94.24,rsi_overbought,399.00,3.71
ADAINR,2026-08-11T15:00+00:00,18.23,28.9,2026-08-14T12:00+00:00,17.86,stop_loss,-408.22,-2.12
FILINR,2026-08-13T00:00+00:00,67.07,29.2,2026-08-14T13:00+00:00,65.47,stop_loss,-90.19,-2.49
ONDOINR,2026-08-11T16:00+00:00,32.92,29.5,2026-08-14T18:00+00:00,32.10,stop_loss,-105.97,-2.56
TRUMPINR,2026-08-12T22:00+00:00,137.97,28.1,2026-08-14T21:00+00:00,144.55,take_profit,440.99,4.66
CHILLGUYINR,2026-08-14T15:00+00:00,1.02,28.5,2026-08-14T21:00+00:00,1.06,take_profit,368.46,4.09
ARBINR,2026-08-12T23:00+00:00,7.41,28.8,2026-08-14T23:00+00:00,7.25,stop_loss,-140.79,-2.33
GASINR,2026-08-14T06:00+00:00,90.78,25.1,2026-08-15T03:00+00:00,94.63,take_profit,84.23,4.14
CAKEINR,2026-08-14T11:00+00:00,138.26,29.0,2026-08-16T15:00+00:00,144.40,take_profit,53.00,4.34
GASINR,2026-08-18T04:00+00:00,93.60,19.5,2026-08-18T16:00+00:00,90.87,stop_loss,-124.37,-3.01
DOTINR,2026-08-18T04:00+00:00,72.30,29.7,2026-08-19T07:00+00:00,75.84,take_profit,312.07,4.79
GASINR,2026-08-18T17:00+00:00,90.96,19.5,2026-08-19T12:00+00:00,95.15,take_profit,173.18,4.51
XRPINR,2026-08-11T15:00+00:00,98.16,27.3,2026-08-19T13:00+00:00,100.24,rsi_overbought,310.83,2.02
ETHINR,2026-08-10T16:00+00:00,187006.16,28.3,2026-08-19T15:00+00:00,194039.43,rsi_overbought,325.29,3.66
SUIINR,2026-08-18T03:00+00:00,63.92,25.8,2026-08-19T15:00+00:00,66.67,take_profit,757.19,4.20
BTCINR,2026-07-31T14:00+00:00,6328423.93,29.7,2026-08-19T16:00+00:00,6722553.94,take_profit,1440.48,6.12
FILINR,2026-08-18T03:00+00:00,61.27,16.7,2026-08-19T16:00+00:00,64.92,take_profit,637.43,5.85
TRBINR,2026-08-18T19:00+00:00,1272.64,28.3,2026-08-19T21:00+00:00,1326.44,take_profit,94.82,4.12
SUIINR,2026-08-25T20:00+00:00,77.04,27.3,2026-08-25T21:00+00:00,74.96,stop_loss,-683.11,-2.79
