date,signal_value
2026-07-29,100000.0
2026-07-29,100000.0
2026-07-29,100000.0
2026-07-29,100000.0
2026-07-29,100000.0
2026-07-29,100000.0
2026-07-29,100000.0
2026-07-29,100000.0
2026-07-29,100000.0
2026-07-29,100000.0
2026-07-30,100000.0
2026-07-30,100000.0
2026-07-30,100000.0
2026-07-30,100000.0
2026-07-30,100000.0
2026-07-30,100000.0
2026-07-30,100000.0
2026-07-30,99940.07
2026-07-30,99940.07
2026-07-30,99940.07
2026-07-30,99940.07
2026-07-30,99940.07
2026-07-30,101313.45
2026-07-30,101442.96
2026-07-30,100759.28
2026-07-30,100759.28
2026-07-30,100759.28
2026-07-30,100759.28
2026-07-30,101391.76
2026-07-30,100476.17
2026-07-30,100476.17
2026-07-30,100476.17
2026-07-30,100476.17
2026-07-30,100476.17
2026-07-30,100476.17
2026-07-31,100476.17
2026-07-31,100476.17
2026-07-31,100476.17
2026-07-31,100476.17
2026-07-31,100476.17
2026-07-31,101274.3
2026-07-31,101274.3
2026-07-31,101274.3
2026-07-31,101274.3
2026-07-31,101274.3
2026-07-31,101274.3
2026-07-31,101274.3
2026-07-31,101262.25
2026-07-31,101262.25
2026-07-31,101262.25
2026-07-31,101262.25
2026-07-31,101260.78
2026-07-31,101436.69
2026-07-31,101640.68
2026-07-31,100749.99
2026-07-31,100621.73
2026-07-31,101750.5
2026-07-31,101346.85
2026-07-31,101310.63
2026-07-31,101248.29
2026-08-01,101353.39
2026-08-01,101430.23
2026-08-01,101515.61
2026-08-01,101539.54
2026-08-01,101422.55
2026-08-01,101331.67
2026-08-01,101331.72
2026-08-01,101349.41
2026-08-01,101274.51
2026-08-01,101087.2
2026-08-01,101294.6
2026-08-01,101224.1
2026-08-01,101269.46
2026-08-01,101176.94
2026-08-01,101088.44
2026-08-01,101827.0
2026-08-01,101647.52
2026-08-01,101634.25
2026-08-01,101036.71
2026-08-01,100510.17
2026-08-01,100604.15
2026-08-01,100853.78
2026-08-01,100892.73
2026-08-01,100884.19
2026-08-02,101020.75
2026-08-02,101208.77
2026-08-02,102741.0
2026-08-02,102719.43
2026-08-02,101917.65
2026-08-02,101927.97
2026-08-02,102662.1
2026-08-02,102629.12
2026-08-02,102381.72
2026-08-02,102640.84
2026-08-02,102433.39
2026-08-02,101318.02
2026-08-02,101381.63
2026-08-02,101311.66
2026-08-02,101984.56
2026-08-02,102206.29
2026-08-02,102101.12
2026-08-02,102167.95
2026-08-02,102288.06
2026-08-02,102331.15
2026-08-02,102499.83
2026-08-02,102635.29
2026-08-02,102614.94
2026-08-02,102383.32
2026-08-03,102413.13
2026-08-03,102238.36
2026-08-03,102091.73
2026-08-03,101920.87
2026-08-03,101687.41
2026-08-03,101894.89
2026-08-03,101593.78
2026-08-03,101667.85
2026-08-03,101340.04
2026-08-03,101565.16
2026-08-03,101692.54
2026-08-03,101473.48
2026-08-03,101458.89
2026-08-03,101310.74
2026-08-03,101907.26
2026-08-03,102432.11
2026-08-03,102173.34
2026-08-03,102258.52
2026-08-03,102438.86
2026-08-03,102370.89
2026-08-03,102317.02
2026-08-03,102127.57
2026-08-03,102100.47
2026-08-03,102055.05
2026-08-03,101887.09
2026-08-04,101966.86
2026-08-04,102147.51
2026-08-04,102297.28
2026-08-04,101876.91
2026-08-04,102272.34
2026-08-04,102739.96
2026-08-04,102020.76
2026-08-04,102008.2
2026-08-04,102049.34
2026-08-04,101919.82
2026-08-04,101941.4
2026-08-04,102296.46
2026-08-04,102104.5
2026-08-04,101824.3
2026-08-04,102051.31
2026-08-04,101968.51
2026-08-04,101865.46
2026-08-04,101952.43
2026-08-04,102025.65
2026-08-04,102045.66
2026-08-04,102306.24
2026-08-04,102051.12
2026-08-04,102112.47
2026-08-04,101748.5
2026-08-05,101565.98
2026-08-05,102136.31
2026-08-05,102280.89
2026-08-05,102346.81
2026-08-05,102372.18
2026-08-05,102590.3
2026-08-05,102559.7
2026-08-05,102518.02
2026-08-05,102873.17
2026-08-05,102825.06
2026-08-05,102465.6
2026-08-05,102637.01
2026-08-05,102529.46
2026-08-05,102733.45
2026-08-05,102531.09
2026-08-05,102388.26
2026-08-05,102931.0
2026-08-05,103164.12
2026-08-05,103351.63
2026-08-05,103321.48
