asset,entry_time,entry_price,rsi_at_entry,exit_time,exit_price,reason,pnl_inr,pnl_pct
NEARINR,2026-08-01T09:00+00:00,165.30,26.5,2026-08-02T06:00+00:00,172.66,take_profit,1697.47,4.35
ONDOINR,2026-08-01T09:00+00:00,38.66,26.2,2026-08-03T01:00+00:00,37.73,stop_loss,-620.56,-2.49
CHILLGUYINR,2026-08-01T09:00+00:00,0.95,24.6,2026-08-03T04:00+00:00,0.93,stop_loss,-331.76,-2.21
ORCAINR,2026-08-01T12:00+00:00,110.62,24.4,2026-08-03T07:00+00:00,106.98,stop_loss,-108.33,-3.39
RIFINR,2026-08-03T10:00+00:00,7.99,22.8,2026-08-03T13:00+00:00,7.83,stop_loss,-269.62,-2.12
TRUMPINR,2026-08-01T12:00+00:00,141.74,29.5,2026-08-03T15:00+00:00,147.64,take_profit,204.87,4.06
RIFINR,2026-08-03T14:00+00:00,7.89,23.4,2026-08-03T17:00+00:00,7.73,stop_loss,-201.56,-2.12
RIFINR,2026-08-04T00:00+00:00,7.56,29.1,2026-08-04T05:00+00:00,7.32,stop_loss,-379.90,-3.33
GASINR,2026-08-01T13:00+00:00,92.39,26.7,2026-08-04T06:00+00:00,95.40,rsi_overbought,57.00,3.16
TRBINR,2026-08-04T10:00+00:00,1332.27,27.0,2026-08-05T03:00+00:00,1359.22,rsi_overbought,212.11,1.92
ETHINR,2026-08-01T19:00+00:00,183680.99,25.0,2026-08-05T20:00+00:00,191046.53,rsi_overbought,41.94,3.91
RIFINR,2026-08-06T03:00+00:00,6.66,29.7,2026-08-06T05:00+00:00,6.40,stop_loss,-237.48,-4.01
RIFINR,2026-08-06T06:00+00:00,6.48,28.3,2026-08-06T07:00+00:00,6.16,stop_loss,-220.41,-5.05
FILINR,2026-08-06T10:00+00:00,69.47,28.8,2026-08-06T13:00+00:00,67.98,stop_loss,-98.40,-2.25
JUPINR,2026-08-05T08:00+00:00,18.54,25.0,2026-08-06T15:00+00:00,18.07,stop_loss,-241.15,-2.61
GASINR,2026-08-04T13:00+00:00,90.78,26.0,2026-08-06T17:00+00:00,95.40,take_profit,341.34,4.98
ONDOINR,2026-08-03T06:00+00:00,37.10,28.8,2026-08-06T21:00+00:00,36.28,stop_loss,-761.78,-2.30
ONDOINR,2026-08-07T00:00+00:00,35.86,29.9,2026-08-07T04:00+00:00,35.03,stop_loss,-495.93,-2.42
XRPINR,2026-08-06T04:00+00:00,104.12,29.4,2026-08-07T06:00+00:00,101.99,stop_loss,-77.59,-2.14
JUPINR,2026-08-06T16:00+00:00,18.01,28.8,2026-08-07T09:00+00:00,18.90,take_profit,354.65,4.80
ORCAINR,2026-08-03T08:00+00:00,107.08,23.3,2026-08-07T18:00+00:00,104.96,stop_loss,-441.45,-2.08
ONDOINR,2026-08-07T05:00+00:00,35.17,25.1,2026-08-08T01:00+00:00,34.46,stop_loss,-429.70,-2.11
SOLINR,2026-08-01T19:00+00:00,7145.27,24.1,2026-08-08T05:00+00:00,7445.48,take_profit,26.85,4.10
ORCAINR,2026-08-07T19:00+00:00,105.06,23.8,2026-08-08T15:00+00:00,111.11,take_profit,583.51,5.65
GASINR,2026-08-07T17:00+00:00,92.08,15.4,2026-08-09T16:00+00:00,94.75,rsi_overbought,435.90,2.80
GASINR,2026-08-10T10:00+00:00,91.35,26.5,2026-08-10T19:00+00:00,94.75,rsi_overbought,687.50,3.62
CAKEINR,2026-08-01T11:00+00:00,139.99,29.9,2026-08-10T20:00+00:00,144.95,rsi_overbought,288.16,3.44
