account,name,entry_rsi,exit_rsi,take_profit_pct,stop_loss_pct,position_size_pct
acc_001,e30_x72_tp4_sl2.0_p40,30.0,72.0,4.0,2.0,40.0
acc_002,e22_x64_tp4_sl1.5_p20,22,64,4,1.5,20
acc_003,e22_x64_tp5_sl1.5_p60,22,64,5,1.5,60
acc_004,e22_x64_tp6_sl2.0_p60,22,64,6,2,60
acc_005,e22_x64_tp8_sl3.0_p50,22,64,8,3,50
acc_006,e22_x64_tp12_sl1.0_p50,22,64,12,1,50
acc_007,e22_x68_tp3_sl1.5_p50,22,68,3,1.5,50
acc_008,e22_x68_tp4_sl2.0_p40,22,68,4,2,40
acc_009,e22_x68_tp5_sl3.0_p40,22,68,5,3,40
acc_010,e22_x68_tp8_sl1.0_p40,22,68,8,1,40
acc_011,e22_x68_tp10_sl1.5_p30,22,68,10,1.5,30
acc_012,e22_x68_tp12_sl2.0_p30,22,68,12,2,30
acc_013,e22_x72_tp3_sl3.0_p20,22,72,3,3,20
acc_014,e22_x72_tp5_sl1.0_p20,22,72,5,1,20
acc_015,e22_x72_tp6_sl1.5_p20,22,72,6,1.5,20
acc_016,e22_x72_tp8_sl1.5_p60,22,72,8,1.5,60
acc_017,e22_x72_tp10_sl2.0_p60,22,72,10,2,60
acc_018,e22_x72_tp12_sl3.0_p60,22,72,12,3,60
acc_019,e22_x76_tp4_sl1.0_p50,22,76,4,1,50
acc_020,e22_x76_tp5_sl1.5_p50,22,76,5,1.5,50
acc_021,e22_x76_tp6_sl2.0_p40,22,76,6,2,40
acc_022,e22_x76_tp8_sl3.0_p40,22,76,8,3,40
acc_023,e22_x76_tp12_sl1.0_p40,22,76,12,1,40
acc_024,e22_x80_tp3_sl1.5_p30,22,80,3,1.5,30
acc_025,e22_x80_tp4_sl2.0_p30,22,80,4,2,30
acc_026,e22_x80_tp5_sl3.0_p20,22,80,5,3,20
acc_027,e22_x80_tp8_sl1.0_p20,22,80,8,1,20
acc_028,e22_x80_tp10_sl1.5_p20,22,80,10,1.5,20
acc_029,e22_x80_tp12_sl1.5_p60,22,80,12,1.5,60
acc_030,e25_x64_tp3_sl2.0_p60,25,64,3,2,60
