rank,account,entry_mode,entry_rsi,exit_rsi,take_profit_pct,stop_loss_pct,position_size_pct,max_hold_hours,round_trips,win_rate,avg_win_pct,avg_loss_pct,profit_factor,final_value,pnl,pnl_pct,max_drawdown_pct,fees_paid,tds_paid
1,acc_418,momentum,33,76,15,5,60,0,58,68.966,7.914,-5.471,3.03,12269.674,2269.674,22.697,12.27,184.61,880.289
2,acc_399,momentum,30,85,8,5,60,720,64,59.375,9.053,-5.287,2.583,11920.25,1920.25,19.203,12.676,182.894,873.549
3,acc_300,momentum,18,85,12,5,80,336,31,54.839,8.746,-5.144,3.424,11910.06,1910.06,19.101,9.001,163.769,774.886
4,acc_122,dip,28,80,15,2,50,336,23,56.522,7.014,-2.665,4.207,11458.294,1458.294,14.583,3.59,102.263,497.552
5,acc_317,momentum,22,76,8,5,50,0,83,63.855,6.996,-4.953,2.42,11375.341,1375.341,13.753,9.896,173.914,828.81
6,acc_475,momentum,40,85,15,5,30,168,77,49.351,12.658,-4.677,2.15,11313.651,1313.651,13.137,9.737,131.814,619.358
7,acc_296,momentum,18,80,10,5,40,0,84,57.143,8.59,-5.55,2.134,11277.898,1277.898,12.779,12.749,167.419,797.201
8,acc_157,dip,33,64,10,5,40,720,58,81.034,3.849,-3.91,3.589,11134.542,1134.542,11.345,4.624,161.467,787.512
9,acc_101,dip,28,60,2,2,40,336,54,88.889,2.667,-2.576,5.66,11078.918,1078.918,10.789,2.627,292.467,1476.575
10,acc_125,dip,28,85,12,1,40,336,34,32.353,9.609,-1.563,3.144,11043.226,1043.226,10.432,7.149,105.854,512.338
11,acc_498,momentum,45,85,5,5,60,0,79,67.089,5.882,-5.794,2.15,10986.37,986.37,9.864,12.641,200.676,962.421
12,acc_172,dip,33,80,15,3,80,168,23,56.522,7.475,-3.947,1.827,10968.707,968.707,9.687,9.151,116.096,535.781
13,acc_128,dip,30,60,8,3,30,720,60,88.333,3.052,-2.492,6.67,10944.62,944.62,9.446,3.065,176.217,875.997
14,acc_147,dip,30,80,15,3,30,0,29,58.621,9.284,-3.738,2.8,10937.306,937.306,9.373,5.802,70.114,316.799
15,acc_114,dip,28,72,10,1.5,50,336,39,51.282,6.134,-1.966,2.761,10910.493,910.493,9.105,6.309,149.995,736.075
16,acc_298,momentum,18,85,4,5,50,720,112,69.643,5.197,-5.356,2.203,10901.026,901.026,9.01,11.298,215.515,1037.786
